"office","gender","count"
"BAC","F",1
"BAC","M",1
"BEH","F",16
"BEH","M",10
"CDA","F",1
"COA/GO","F",2
"COA/GO","M",1
"DCGNMC","F",91
"DCGNMC","M",42
"DILG/GO","F",1
"DILG/GO","M",1
"GAD","F",2
"GENRO","F",11
"GENRO","M",8
"GHIP","F",6
"GHIP","M",6
"GO","F",11
"GO","M",5
"GO/GPPO","F",1
"GO/GPPO","M",4
"GO/ICT","F",2
"GO/ICT","M",1
"GO/Taskforce","F",1
"GO/Taskforce","M",64
"HRMDS","F",5
"HRMDS","M",1
"LTO","F",1
"LTO","M",2
"Legal","F",3
"Legal","M",2
"NVHS","F",1
"PAcctgO","F",6
"PAcctgO","M",5
"PAdminO","F",7
"PAdminO","M",7
"PAssO","F",9
"PAssO","M",5
"PBO","F",1
"PBO","M",1
"PCA","M",1
"PDRRMC","F",14
"PDRRMC","M",65
"PEDO","F",12
"PEDO","M",3
"PEO","F",18
"PEO","M",70
"PGSO","F",19
"PGSO","M",31
"PHO","F",3
"PHO","M",5
"POAS","F",21
"POAS","M",18
"PPDO","F",3
"PPDO","M",1
"PPO","F",1
"PSWDO","F",9
"PSWDO","M",3
"PTEDC","F",2
"PTEDC","M",2
"PTreasurer","F",5
"PTreasurer","M",1
"PVSO","F",7
"PVSO","M",7
"TASKFORCE","F",5
"TASKFORCE","M",52
